feature,importance
delta_mfcc_std_28,0.002677177494468551
mfcc_std_31,0.002669851066646558
mfcc_mean_30,0.002657974071739517
onset_strength_mean,0.002628035497005247
spec_contrast_band3_mean,0.002627957112147366
delta_mfcc_std_1,0.0026137912178165125
delta_mfcc_std_7,0.0026041331958105976
mfcc_mean_3,0.002587592986453055
f0_std,0.0025862592475957703
delta2_mfcc_std_28,0.0025449728137177208
mfcc_std_8,0.0025300109674588523
delta2_mfcc_std_27,0.002487972529776499
delta2_mfcc_std_39,0.002461618320559684
delta2_mfcc_mean_1,0.002448602037767359
delta_mfcc_std_17,0.0024381073513153797
delta2_mfcc_std_37,0.002426118032567639
delta2_mfcc_std_33,0.00238559046899535
delta2_mfcc_std_32,0.0023646751544319244
delta_mfcc_std_31,0.0023640705881616602
delta_mfcc_std_4,0.0023488083021230718
delta_mfcc_std_21,0.0023217766908543483
delta_mfcc_std_32,0.0022909466347900104
mfcc_std_1,0.0022712684535661563
mfcc_std_10,0.0022524984546740635
spec_bandwidth_std,0.002235426886207674
spec_rolloff_std,0.0022232047216903797
delta2_mfcc_std_25,0.00221000547161148
spec_contrast_band2_mean,0.0021730502705960774
mfcc_std_25,0.002150587878735091
delta_mfcc_std_19,0.0021433423322960218
mfcc_std_11,0.002052956483622384
mfcc_std_5,0.002022756085104187
mfcc_mean_2,0.001986661903107674
delta_mfcc_std_25,0.0019845636613046295
delta_mfcc_std_5,0.0019782674189683064
delta_mfcc_mean_0,0.0019496182062793013
delta2_mfcc_std_23,0.0019467236320145542
delta2_mfcc_std_31,0.0019210586749979733
delta2_mfcc_std_6,0.0018686428640607056
delta2_mfcc_mean_0,0.00186584936880684
onset_rate,0.0018527422308256595
delta2_mfcc_std_2,0.0018110226800749185
delta_mfcc_mean_1,0.00179663064140087
mfcc_std_21,0.0017878904117646372
delta2_mfcc_std_14,0.0017601380144312059
delta2_mfcc_std_13,0.0016692337577252883
mfcc_std_9,0.0016274357415945189
delta_mfcc_std_8,0.0015718655993503354
delta_mfcc_std_22,0.0015143382829314786
delta_mfcc_mean_2,0.0015062359626517045
delta_mfcc_mean_4,0.0014964316459377303
delta_mfcc_std_10,0.0014682994136939068
delta2_mfcc_std_22,0.0014486010077515612
delta_mfcc_std_2,0.0014066050639798414
delta2_mfcc_std_0,0.0013927811506761118
delta2_mfcc_std_21,0.0013741785364306171
delta2_mfcc_std_10,0.0013680505802054072
delta2_mfcc_std_15,0.001360780982183485
delta_mfcc_std_20,0.0013179929389485667
delta_mfcc_std_9,0.0012893230333066111
mfcc_std_20,0.0012836136476085322
delta2_mfcc_mean_2,0.0012827237861895854
delta2_mfcc_std_9,0.0012714403652678583
onset_strength_std,0.0012143280113599887
delta_mfcc_std_11,0.0011391120730951355
delta_mfcc_mean_6,0.0010792090678968286
delta2_mfcc_std_20,0.0010703938527523327
delta2_mfcc_std_17,0.0010671052512679754
delta2_mfcc_std_8,0.0010147459833232176
delta2_mfcc_std_16,0.0010116057843803522
delta2_mfcc_std_11,0.0010096430244571728
delta_mfcc_mean_3,0.0009677876863681713
delta2_mfcc_mean_10,0.0009481821195052605
delta_mfcc_mean_32,0.000937116036811931
delta_mfcc_mean_7,0.0009251849485037983
delta2_mfcc_mean_3,0.000914596030189413
delta_mfcc_mean_36,0.0009103473793172149
delta_mfcc_mean_24,0.0008855559936125105
delta_mfcc_mean_8,0.0008849108340697663
delta2_mfcc_std_19,0.0008841500621940279
delta_mfcc_mean_20,0.00087963947230127
delta2_mfcc_mean_4,0.0008618274473703811
delta2_mfcc_mean_38,0.0008557007010716383
delta2_mfcc_mean_32,0.000854033677082065
delta2_mfcc_std_18,0.0008506797649259462
delta_mfcc_mean_25,0.000850558950206884
delta_mfcc_mean_11,0.0008440084940944074
delta_mfcc_mean_5,0.00083795754582468
delta2_mfcc_mean_17,0.0008338816674518621
